Motor,Voltage,Propeller,Throttle,Amps,Watts,Thrust,RPM,Moment,Efficiency
TMotorU8liteKV100,48,2788,40%,3.1,148.8,1976,1919,0.67,13.28
TMotorU8liteKV100,48,2788,42%,3.4,163.2,2130,1972,0.71,13.05
TMotorU8liteKV100,48,2788,44%,4.1,196.8,2430,2108,0.82,12.35
TMotorU8liteKV100,48,2788,46%,4.4,211.2,2504,2154,0.85,11.86
TMotorU8liteKV100,48,2788,48%,4.8,230.4,2660,2221,0.89,11.55
TMotorU8liteKV100,48,2788,50%,5.4,259.2,2894,2302,0.97,11.17
TMotorU8liteKV100,48,2788,52%,5.9,283.2,3090,2381,1.02,10.91
TMotorU8liteKV100,48,2788,54%,6.5,312,3281,2439,1.08,10.52
TMotorU8liteKV100,48,2788,56%,6.9,331.2,3439,2502,1.11,10.38
TMotorU8liteKV100,48,2788,58%,7.4,355.2,3593,2573,1.15,10.12
TMotorU8liteKV100,48,2788,60%,7.9,379.2,3774,2635,1.19,9.95
TMotorU8liteKV100,48,2788,62%,8.8,422.4,4026,2720,1.29,9.53
TMotorU8liteKV100,48,2788,64%,9.3,446.4,4220,2773,1.32,9.45
TMotorU8liteKV100,48,2788,66%,9.8,470.4,4365,2823,1.35,9.28
TMotorU8liteKV100,48,2788,68%,10.5,504,4532,2874,1.41,8.99
TMotorU8liteKV100,48,2788,70%,11,528,4673,2938,1.43,8.85
TMotorU8liteKV100,48,2788,75%,12.7,609.6,5129,3064,1.55,8.41
TMotorU8liteKV100,48,2788,80%,14.8,710.4,5635,3214,1.7,7.93
TMotorU8liteKV100,48,2788,90%,19.2,921.6,6715,3494,1.97,7.29
TMotorU8liteKV100,48,2788,100%,26,1248,8164,3777,2.42,6.54
TMotorU8liteKV100,48,2892,40%,3.5,168,2243,1896,0.77,13.35
TMotorU8liteKV100,48,2892,42%,3.9,187.2,2401,1964,0.82,12.83
TMotorU8liteKV100,48,2892,44%,4.2,201.6,2555,2020,0.85,12.67
TMotorU8liteKV100,48,2892,46%,5.1,244.8,2881,2144,0.99,11.77
TMotorU8liteKV100,48,2892,48%,5.4,259.2,3008,2190,1.01,11.6
TMotorU8liteKV100,48,2892,50%,6,288,3231,2268,1.08,11.22
TMotorU8liteKV100,48,2892,52%,6.7,321.6,3370,2339,1.16,10.48
TMotorU8liteKV100,48,2892,54%,7.2,345.6,3624,2415,1.21,10.49
TMotorU8liteKV100,48,2892,56%,7.7,369.6,3803,2462,1.25,10.29
TMotorU8liteKV100,48,2892,58%,8.5,408,4033,2540,1.33,9.88
TMotorU8liteKV100,48,2892,60%,8.9,427.2,4201,2581,1.35,9.83
TMotorU8liteKV100,48,2892,62%,9.5,456,4353,2647,1.4,9.55
TMotorU8liteKV100,48,2892,64%,10.4,499.2,4593,2694,1.49,9.2
TMotorU8liteKV100,48,2892,66%,11,528,4791,2755,1.53,9.07
TMotorU8liteKV100,48,2892,68%,11.7,561.6,4988,2812,1.58,8.88
TMotorU8liteKV100,48,2892,70%,12.2,585.6,5153,2858,1.6,8.88
TMotorU8liteKV100,48,2892,75%,14.3,686.4,5696,3002,1.76,8.3
TMotorU8liteKV100,48,2892,80%,16.2,777.6,6171,3122,1.87,7.94
TMotorU8liteKV100,48,2892,90%,21.4,1027.2,7329,3379,2.21,7.13
TMotorU8liteKV100,48,2892,100%,29.3,1406.4,8716,3709,2.73,6.2
